Year,Country,Latitude,Longitude,Admin
2015,USA,41.49577584,-99.16117014,1
2015,USA,39.76343254,-117.1416554,1
2015,USA,43.82969567,-71.35790935,1
2015,USA,40.26492958,-74.31838825,1
2015,USA,40.71279012,-73.8781978,1
2015,USA,35.66204207,-79.15417707,1
2015,USA,47.3801634,-100.3075594,1
2015,USA,40.30821874,-82.82521273,1
2015,USA,35.95850828,-96.74889724,1
2015,USA,43.80428648,-120.1505449,1
2015,USA,40.88039772,-77.59048298,1
2015,USA,41.71607013,-71.58868977,1
2015,USA,33.94519383,-80.38775745,1
2015,USA,35.67553516,-86.60352746,1
2015,USA,31.60604025,-99.42299256,1
2015,USA,39.10708562,-111.7311726,1
2015,USA,44.10342074,-72.77608039,1
2015,USA,37.30873504,-78.59487821,1
2015,USA,47.37906783,-119.6791518,1
2015,USA,44.71916486,-89.53184772,1
2015,US VIRGIN ISLANDS,17.81267534,-64.78325226,0
2017,ARGENTINA,-23.21024581,-64.09809862,2
2017,ARGENTINA,-22.5955383,-63.81248932,2
2017,ARGENTINA,-22.51714478,-63.80343257,2
2017,BANGLADESH,23.82592173,90.41626663,2
2017,BOLIVIA,-17.31507031,-62.88819988,1
2017,BRAZIL,-10.92680667,-37.07363729,3
2017,BRAZIL,-4.692413248,-39.60264623,1
2017,BRAZIL,-17.33646264,-44.64384965,1
2017,BRAZIL,1.723856209,-61.3624885,1
2017,BRAZIL,-2.44112863,-54.71267615,2
2017,BRAZIL,-15.64997365,-56.13838568,2
2017,CHINA,23.83827114,114.5464407,1
2017,COLOMBIA,5.016669408,-74.1604571,2
2017,COLOMBIA,3.038880417,-75.3207929,2
2017,COLOMBIA,6.793592136,-73.42762735,2
2017,COLOMBIA,4.35632109,-75.24943959,2
2017,COLOMBIA,3.618663481,-76.5725459,2
2017,COSTA RICA,10.37702736,-84.29963903,0
2017,ECUADOR,-1.200331216,-78.55902739,0
2017,EL SALVADOR,13.7778198,-88.74924374,0
2017,FRANCE,43.40352583,6.345927143,3
2017,FRANCE,43.46605399,6.425693216,3
2017,GUADELOUPE,16.24323608,-61.54818968,0
2017,HONDURAS,14.84546147,-87.02198288,0
2017,INDIA,23.03509241,72.55296036,3
2017,INDIA,14.99059135,79.1191419,1
2017,INDIA,26.53893622,92.64480171,1
2017,INDIA,18.16347771,74.55583254,3
2017,INDIA,18.14634381,73.84334912,3
2017,INDIA,30.73611375,76.77554539,1
2017,INDIA,28.70851772,77.20728916,3
2017,INDIA,29.17061228,76.1157398,1
2017,INDIA,14.81249891,75.72815663,1
2017,INDIA,30.90729363,75.84525899,3
2017,INDIA,19.09165973,72.87088587,3
2017,INDIA,20.01128862,73.78905939,3
2017,INDIA,21.68196811,75.12229421,3
2017,INDIA,30.34347376,75.00730459,1
2017,INDIA,11.64667917,78.6754912,1
2017,INDIA,8.53334866,76.9344673,3
2017,ITALY,41.44961816,12.61898053,3
2017,ITALY,44.78431474,10.87881599,3
2017,ITALY,38.48119012,16.57663042,3
2017,ITALY,44.58803698,10.65733606,1
2017,ITALY,41.47551129,12.8954733,1
2017,ITALY,43.42641045,13.11143393,1
